Raman shift [1/cm],IF1,IF2,IF3,IF4,IF5,IF6,IF7,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16
1452,48.11708933,114.946145,373.8947252,362.2368142,637.7955927,203.7318676,32.30199535,226.4843667,681.2908761,495.2900747,788.0419887,233.1976558,442.4354971,237.6836976,635.1200655,144.1552466
1450,81.50588306,122.3774547,383.4327124,356.0451923,721.544743,211.9814755,76.61692523,290.0961864,657.1407615,524.2809368,799.2666826,230.4201587,426.028969,352.3442369,612.2970166,128.8797793
1448,121.4908591,141.7445985,404.8691726,424.4780072,803.6431289,226.8343478,122.5176293,295.4384356,768.6045417,478.9330328,727.2825088,219.8033263,518.4383874,363.9932578,539.0582155,138.2466579
1446,105.8263051,162.6193934,436.1827943,464.5478287,774.6476935,227.717539,125.3075602,294.138941,896.0972747,439.9561471,719.8326204,178.8717088,633.9598768,396.8601473,526.2411768,160.9573612
1444,82.31029697,231.9336051,512.4250042,482.0626835,631.8897552,215.4339287,134.8088178,417.6859744,925.1015919,471.6737293,800.1070815,174.786721,853.4657281,529.178994,606.8606957,157.422753
1442,107.1131314,224.2897994,593.0399891,499.1045555,575.3313653,208.4707316,208.1563423,436.3380954,1046.995024,527.6868863,780.9607347,240.0223948,1099.338365,650.7596666,637.9279748,111.6600515
1440,125.1191761,142.8901208,631.6417671,483.9982882,598.7958368,236.3082768,313.4158057,386.4530547,1218.473619,576.7293382,746.2534002,244.0847891,1295.948054,750.9656631,578.295375,127.1135581
1438,115.3773442,106.2792414,679.2089626,484.4558413,583.936455,279.6592707,362.5298293,430.7190319,1253.720759,598.6911831,776.5731942,185.0809582,1550.125427,902.1952171,509.6625865,156.1369306
1436,121.8768258,136.37165,778.9762,521.741051,511.8091948,291.8635565,380.5318615,512.1033774,1215.692241,591.5749372,743.9824079,188.5081115,1867.844212,1076.714464,487.3464164,140.7121794
1434,156.7697322,166.4642797,895.0873416,538.5616276,445.7837917,268.1597597,448.4141572,492.8098904,1269.285475,589.4134906,587.6082618,259.8828619,2150.514475,1180.902156,494.2500354,166.3386584
1432,168.7118858,210.2447235,1025.806393,524.1169806,425.1002389,241.5999317,483.6815277,493.7402938,1256.046834,617.5692482,530.8646077,270.8662516,2510.302093,1302.405568,529.9496223,194.1462002
1430,145.5954517,196.3064916,1141.954365,494.1046538,423.1567855,232.4493119,544.4255816,545.0380665,1203.429347,646.8391804,515.9179316,300.7676931,2878.245632,1460.486679,534.3997496,146.4493859
1428,140.6333931,144.7298324,1236.899734,482.8793687,371.4270823,229.9426239,672.7529344,604.5858001,1208.748609,668.0617228,460.3830803,374.9846008,3212.129935,1626.826421,487.6486894,100.6375502
1426,182.655979,148.4762252,1351.771293,507.2661954,308.8460269,212.2325937,780.1350694,628.2244166,1229.451455,692.7504636,408.6339873,392.9919459,3557.124927,1821.569785,447.1150748,136.0832203
1424,219.3672087,176.5778273,1504.447481,566.7540874,330.8346718,190.9086616,830.7274475,589.1919558,1201.162745,704.3578845,342.3225268,387.1977561,3873.844739,2018.36218,449.7615023,171.4321668
1422,200.1197364,153.9971938,1661.574677,637.9033906,343.4616327,212.3663019,909.4679571,564.8652335,1224.237111,698.7440884,290.5561469,454.4752121,4114.234865,2097.707516,472.7242216,175.6350246
1420,161.6553516,145.6800082,1792.905497,632.8287574,345.1470317,240.6615421,982.0799871,567.4055026,1240.016375,701.2027615,293.5351767,504.7131535,4352.639751,2208.283373,483.9850335,182.6455025
1418,163.2321355,162.833957,1873.733867,597.8501344,387.7926155,222.1796902,1033.449503,556.550696,1194.405606,732.5488038,316.437647,517.3870425,4629.850839,2386.676012,459.9935799,192.629961
1416,188.5993491,140.863763,1942.389821,635.4735293,461.4731133,188.4642352,1129.720551,578.8164043,1178.860785,783.2609203,328.636784,579.3874915,4872.299267,2480.383352,421.2176468,164.7531519
1414,170.7528686,167.1937492,2100.674246,655.7513277,543.4076413,209.6955652,1245.886564,714.0690597,1181.39933,844.7084883,348.354844,608.699927,5083.582125,2604.381773,433.8088889,135.9610517
1412,90.69004305,205.4038314,2249.937006,685.9736003,567.6135363,267.0576759,1360.749276,789.0864474,1141.985739,955.8762846,280.1701432,647.878207,5386.693952,2790.793368,473.2037197,159.0109219
